derive_command,step_by_step_result
"derive 1/(x - 1) - 1/(x + 1), 2/(x^2 - 1)",bueno
"derive tan(x) + cot(x), sec(x)*csc(x)",bueno
"derive sin(x)^2, (1 - cos(2*x))/2",perfecto
"derive cosh(x) + sinh(x), e^x",perfecto
"derive 1/(sqrt(a) + sqrt(b)), (sqrt(a) - sqrt(b))/(a - b)",perfecto
"derive log(x^2 - y^2), log(x - y) + log(x + y)",bueno
"derive (x^4 - 1)/(x - 1), x^3 + x^2 + x + 1","malo: el único step visible ya parte de la forma factorizada ((x^3 + x^2 + x + 1)(x - 1))/(x - 1), así que el wire oculta la factorización de x^4 - 1 y no refleja fielmente el recorrido desde el origen."
"derive 1/(1 + sin(x)) + 1/(1 - sin(x)), 2*sec(x)^2","bueno: sigue comprimiendo la limpieza intermedia del numerador y del denominador, pero los steps visibles ya son fieles; el segundo paso enseña correctamente 2/(1 - sin(x)^2) antes de aplicar la identidad pitagórica."
"derive (sin(x) + cos(x))^2, 1 + sin(2*x)",perfecto
"derive 2*cos(2*x)*sin(x), 4*cos(x)^2*sin(x)-2*sin(x)",no evaluado
"derive 2*cos(2*x)*cos(x), 4*cos(x)^3-2*cos(x)",no evaluado
"derive 2*sin(2*x)*sin(x), 4*cos(x)-4*cos(x)^3",no evaluado
"derive 2*sin(2*x)*sin(x)+a, 4*cos(x)-4*cos(x)^3+a",no evaluado
"derive 2*cos(2*x)*sin(x)+a, 4*cos(x)^2*sin(x)-2*sin(x)+a",no evaluado
"derive sin(x)+sin(y), 2*sin((x+y)/2)*cos((x-y)/2)",no evaluado
"derive cos(x)+cos(y), 2*cos((x+y)/2)*cos((x-y)/2)",no evaluado
"derive cos(x)-cos(y), -2*sin((x+y)/2)*sin((x-y)/2)",no evaluado
"derive sin(x)+cos(x)+sin(y)+cos(y), sqrt(2)*sin(x+pi/4)+sqrt(2)*sin(y+pi/4)",no evaluado
"derive 3*sin(x)+4*cos(x)+a, 5*sin(x+arctan(4/3))+a",no evaluado
"derive 5*sin(x+arctan(4/3))+a, 3*sin(x)+4*cos(x)+a",no evaluado
"derive 2*sinh(2*x)*sinh(x), 4*cosh(x)^3-4*cosh(x)",no evaluado
"derive 2*sinh(2*x)*sinh(x)+a, 4*cosh(x)^3-4*cosh(x)+a",no evaluado
"derive 2*sinh(2*x)*cosh(x), 4*sinh(x)+4*sinh(x)^3",no evaluado
"derive sinh(x)+sinh(y), 2*sinh((x+y)/2)*cosh((x-y)/2)",no evaluado
"derive sinh(x+y), sinh(x)*cosh(y)+cosh(x)*sinh(y)",no evaluado
"derive (a^2-b^2)/(a-b), a+b",no evaluado
"derive (a^2-b^2)/(a-b)+c, a+b+c",no evaluado
"derive (a^3-b^3)/(a-b), a^2+a*b+b^2",no evaluado
"derive (a^3-b^3)/(a-b)+c, a^2+a*b+b^2+c",no evaluado
"derive (x^3-1)/(x-1), x^2+x+1",no evaluado
"derive (x^4-1)/(x^2-1), x^2+1",no evaluado
"derive (x^2-1)/(x-1), x+1",no evaluado
"derive sqrt(a^2 + 2*a*b + b^2), abs(a+b)",no evaluado
"derive sqrt(a^2 + 2*a*b + b^2)+c, abs(a+b)+c",no evaluado
"derive sqrt(x^3)+a, abs(x)*sqrt(x)+a",no evaluado
"derive log((x*y)^2), log(x^2)+log(y^2)",no evaluado
"derive log(x^2-y^2)+a, log(x-y)+log(x+y)+a",no evaluado
"derive ln(x^2)+ln(y^2), ln((x*y)^2)",no evaluado
"derive 2*ln(abs(x*y)), 2*ln(abs(x))+2*ln(abs(y))",no evaluado
"derive 2*log(b,x)+2*log(b,y), log(b,(x*y)^2)",no evaluado
"derive tan(x)*cot(x)+a, 1+a",no evaluado
"derive sec(x)^2 - tan(x)^2 + a, 1+a",no evaluado
"derive cosh(x)^2-sinh(x)^2+a, 1+a",no evaluado
