expression,expected_result,wrapper,pair_id,family,source,target,expected_strategy
((x + x) + m) - ((2*x) + m),0,additive_passthrough_zero,combine_like_terms,simplify,x + x,2*x,combine like terms
k*(x + x) - k*(2*x),0,scaled_difference_zero,combine_like_terms,simplify,x + x,2*x,combine like terms
((x + x)/q) - ((2*x)/q),0,common_denominator_zero,combine_like_terms,simplify,x + x,2*x,combine like terms
((x + x) + 1)/((2*x) + 1),1,shifted_quotient_one,combine_like_terms,simplify,x + x,2*x,combine like terms
1/((x + x)+c) - 1/((2*x)+c),0,reciprocal_shifted_difference_zero,combine_like_terms,simplify,x + x,2*x,reciprocal shifted difference
1/(((x + x)+r/s)+c) - 1/(((2*x)+r/s)+c),0,reciprocal_shifted_difference_zero,combine_like_terms_noise_fraction,simplify,x + x,2*x,reciprocal shifted difference noise budget
((a*x + b*x + c) + m) - (((a + b)*x + c) + m),0,additive_passthrough_zero,collect_linear,collect,a*x + b*x + c,(a + b)*x + c,collect
k*(a*x + b*x + c) - k*((a + b)*x + c),0,scaled_difference_zero,collect_linear,collect,a*x + b*x + c,(a + b)*x + c,collect
((a*x + b*x + c)/q) - (((a + b)*x + c)/q),0,common_denominator_zero,collect_linear,collect,a*x + b*x + c,(a + b)*x + c,collect
((a*x + b*x + c) + 1)/(((a + b)*x + c) + 1),1,shifted_quotient_one,collect_linear,collect,a*x + b*x + c,(a + b)*x + c,collect
1/((a*x + b*x + c)+d) - 1/(((a+b)*x + c)+d),0,reciprocal_shifted_difference_zero,collect_linear,collect,a*x + b*x + c,(a + b)*x + c,reciprocal shifted difference
1/((((a*x + b*x + c)+r/s)+u/v)+d) - 1/(((((a + b)*x + c)+r/s)+u/v)+d),0,reciprocal_shifted_difference_zero,collect_linear_double_noise_fraction,collect,a*x + b*x + c,(a + b)*x + c,reciprocal shifted difference double noise budget
a*x + b*x + c - ((a + b)*x + c),0,combined_additive_zero,collect_linear,collect,a*x + b*x + c,(a + b)*x + c,collect
(((a + b)*x + c) - (a*x + b*x + c)) + (sin(2*y) - 2*sin(y)*cos(y)),0,combined_additive_zero,collect_linear_reversed_trig_combined_zero,collect,a*x + b*x + c,(a + b)*x + c,collapse exact zero additive subexpressions
