expression,expected_result,composition,source_expr_1,source_expr_2
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (tan(x) + cot(x) - sec(x)*csc(x)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),tan(x) + cot(x) - sec(x)*csc(x)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (tan(x) + cot(x) - sec(x)*csc(x)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),tan(x) + cot(x) - sec(x)*csc(x)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (tan(x) + cot(x) - sec(x)*csc(x)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),tan(x) + cot(x) - sec(x)*csc(x)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((tan(x) + cot(x) - sec(x)*csc(x)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),tan(x) + cot(x) - sec(x)*csc(x)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) * (1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)),0,product,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)
((ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + 1)/((1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)) + 1),1,shifted_quotient,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) + (1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)),0,sum,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)
(ln(x^3) + ln(y^2) - ln(x^3 * y^2)) - (1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)),0,difference,ln(x^3) + ln(y^2) - ln(x^3 * y^2),1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)
